Var Name,Standard Name,WYT,Sac Index Val,NumDays,Start Date 1,End Date 1,Val1,Start Date 2,End Date 2,Val2,Start Date 3,End Date 3,Val3,Start Date 4,End Date 4,Val4,Start Date 5,End Date 5,Val5,Start Date 6,End Date 6,Val6
RSAN018,D1641 FWS,W ,1,NA,1-Apr,31-May,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSAN018,D1641 FWS,AN,2,NA,1-Apr,31-May,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSAN018,D1641 FWS,BN,3,NA,1-Apr,31-May,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSAN018,D1641 FWS,D,4,NA,1-Apr,31-May,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSAN018,D1641 FWS,C,5,NA,1-Apr,31-May,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSAN032,D1641 FWS,W ,1,NA,1-Apr,31-May,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSAN032,D1641 FWS,AN,2,NA,1-Apr,31-May,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSAN032,D1641 FWS,BN,3,NA,1-Apr,31-May,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSAN032,D1641 FWS,D,4,NA,1-Apr,31-May,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSAN032,D1641 FWS,C,5,NA,1-Apr,31-May,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSAN037,D1641 FWS,W ,1,NA,1-Apr,31-May,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSAN037,D1641 FWS,AN,2,NA,1-Apr,31-May,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSAN037,D1641 FWS,BN,3,NA,1-Apr,31-May,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSAN037,D1641 FWS,D,4,NA,1-Apr,31-May,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSAN037,D1641 FWS,C,5,NA,1-Apr,31-May,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSAC081,D1641 FWS,W ,1,NA,1-Jan,31-Jan,12.5,1-Feb,31-Mar,8,1-Apr,31-May,11,1-Oct,31-Oct,19,1-Nov,31-Dec,15.5,NA,NA,NA
RSAC081,D1641 FWS,AN,2,NA,1-Jan,31-Jan,12.5,1-Feb,31-Mar,8,1-Apr,31-May,11,1-Oct,31-Oct,19,1-Nov,31-Dec,15.5,NA,NA,NA
RSAC081,D1641 FWS,BN,3,NA,1-Jan,31-Jan,12.5,1-Feb,31-Mar,8,1-Apr,31-May,11,1-Oct,31-Oct,19,1-Nov,31-Dec,15.5,NA,NA,NA
RSAC081,D1641 FWS,D,4,NA,1-Jan,31-Jan,12.5,1-Feb,31-Mar,8,1-Apr,31-May,11,1-Oct,31-Oct,19,1-Nov,31-Dec,15.5,NA,NA,NA
RSAC081,D1641 FWS,C,5,NA,1-Jan,31-Jan,12.5,1-Feb,31-Mar,8,1-Apr,31-May,11,1-Oct,31-Oct,19,1-Nov,31-Dec,15.5,NA,NA,NA
SLMZU025,D1641 FWS,W ,1,NA,1-Jan,31-Jan,12.5,1-Feb,31-Mar,8,1-Apr,31-May,11,1-Oct,31-Oct,19,1-Nov,31-Dec,15.5,NA,NA,NA
SLMZU025,D1641 FWS,AN,2,NA,1-Jan,31-Jan,12.5,1-Feb,31-Mar,8,1-Apr,31-May,11,1-Oct,31-Oct,19,1-Nov,31-Dec,15.5,NA,NA,NA
SLMZU025,D1641 FWS,BN,3,NA,1-Jan,31-Jan,12.5,1-Feb,31-Mar,8,1-Apr,31-May,11,1-Oct,31-Oct,19,1-Nov,31-Dec,15.5,NA,NA,NA
SLMZU025,D1641 FWS,D,4,NA,1-Jan,31-Jan,12.5,1-Feb,31-Mar,8,1-Apr,31-May,11,1-Oct,31-Oct,19,1-Nov,31-Dec,15.5,NA,NA,NA
SLMZU025,D1641 FWS,C,5,NA,1-Jan,31-Jan,12.5,1-Feb,31-Mar,8,1-Apr,31-May,11,1-Oct,31-Oct,19,1-Nov,31-Dec,15.5,NA,NA,NA
SLMZU011,D1641 FWS,W ,1,NA,1-Jan,31-Jan,12.5,1-Feb,31-Mar,8,1-Apr,31-May,11,1-Oct,31-Oct,19,1-Nov,31-Dec,15.5,NA,NA,NA
SLMZU011,D1641 FWS,AN,2,NA,1-Jan,31-Jan,12.5,1-Feb,31-Mar,8,1-Apr,31-May,11,1-Oct,31-Oct,19,1-Nov,31-Dec,15.5,NA,NA,NA
SLMZU011,D1641 FWS,BN,3,NA,1-Jan,31-Jan,12.5,1-Feb,31-Mar,8,1-Apr,31-May,11,1-Oct,31-Oct,19,1-Nov,31-Dec,15.5,NA,NA,NA
SLMZU011,D1641 FWS,D,4,NA,1-Jan,31-Jan,12.5,1-Feb,31-Mar,8,1-Apr,31-May,11,1-Oct,31-Oct,19,1-Nov,31-Dec,15.5,NA,NA,NA
SLMZU011,D1641 FWS,C,5,NA,1-Jan,31-Jan,12.5,1-Feb,31-Mar,8,1-Apr,31-May,11,1-Oct,31-Oct,19,1-Nov,31-Dec,15.5,NA,NA,NA
SLCBN002,D1641 FWS,W ,1,NA,1-Jan,31-Jan,12.5,1-Feb,31-Mar,8,1-Apr,31-May,11,1-Oct,31-Oct,19,1-Nov,30-Nov,16.5,1-Dec,31-Dec,15.5
SLCBN002,D1641 FWS,AN,2,NA,1-Jan,31-Jan,12.5,1-Feb,31-Mar,8,1-Apr,31-May,11,1-Oct,31-Oct,19,1-Nov,30-Nov,16.5,1-Dec,31-Dec,15.5
SLCBN002,D1641 FWS,BN,3,NA,1-Jan,31-Jan,12.5,1-Feb,31-Mar,8,1-Apr,31-May,11,1-Oct,31-Oct,19,1-Nov,30-Nov,16.5,1-Dec,31-Dec,15.5
SLCBN002,D1641 FWS,D,4,NA,1-Jan,31-Jan,12.5,1-Feb,31-Mar,8,1-Apr,31-May,11,1-Oct,31-Oct,19,1-Nov,30-Nov,16.5,1-Dec,31-Dec,15.5
SLCBN002,D1641 FWS,C,5,NA,1-Jan,31-Jan,12.5,1-Feb,31-Mar,8,1-Apr,31-May,11,1-Oct,31-Oct,19,1-Nov,30-Nov,16.5,1-Dec,31-Dec,15.5
SLSUS012,D1641 FWS,W ,1,NA,1-Jan,31-Jan,12.5,1-Feb,31-Mar,8,1-Apr,31-May,11,1-Oct,31-Oct,19,1-Nov,30-Nov,16.5,1-Dec,31-Dec,15.5
SLSUS012,D1641 FWS,AN,2,NA,1-Jan,31-Jan,12.5,1-Feb,31-Mar,8,1-Apr,31-May,11,1-Oct,31-Oct,19,1-Nov,30-Nov,16.5,1-Dec,31-Dec,15.5
SLSUS012,D1641 FWS,BN,3,NA,1-Jan,31-Jan,12.5,1-Feb,31-Mar,8,1-Apr,31-May,11,1-Oct,31-Oct,19,1-Nov,30-Nov,16.5,1-Dec,31-Dec,15.5
SLSUS012,D1641 FWS,D,4,NA,1-Jan,31-Jan,12.5,1-Feb,31-Mar,8,1-Apr,31-May,11,1-Oct,31-Oct,19,1-Nov,30-Nov,16.5,1-Dec,31-Dec,15.5
SLSUS012,D1641 FWS,C,5,NA,1-Jan,31-Jan,12.5,1-Feb,31-Mar,8,1-Apr,31-May,11,1-Oct,31-Oct,19,1-Nov,30-Nov,16.5,1-Dec,31-Dec,15.5
